week,case
1,0.0455
2,0.0404
3,0.0571
4,0.0436
5,0.0383
6,0.0377
7,0.0333
8,0.0282
9,0.0312
10,0.0365
11,0.0291
12,0.0279
13,0.02
14,0.0235
15,0.0219
16,0.0101
17,0.0082
18,0.0157
19,0.0112
20,0.009
21,0.0088
22,0.0037
23,0.0035
24,0.0064
25,0.0107
26,0.0102
27,0.0079
28,0.0109
29,0.0614
30,0.0051
31,0.0119
32,0.0085
33,0.0148
34,0.0078
35,0.0069
36,0.0087
37,0.0117
38,0.0125
39,0.0152
40,0.0117
41,0.0199
42,0.019
43,0.0271
44,0.0336
45,0.0501
46,0.0453
47,0.0807
48,0.0999
49,0.1449
50,0.1531
51,0.1719
52,0.198
53,0.187
54,0.1745
55,0.1568
56,0.1204
57,0.1153
58,0.0805
59,0.0816
60,0.058
61,0.0518
62,0.0486
63,0.0224
64,0.0123
65,0.0158
66,0.0039
67,0.0029
68,0.0052
69,0.0025
70,0.0013
71,0.0013
72,0.0011
73,0.0012
74,0.0011
75,0
76,0.0009
77,0.0008
78,0.0015
79,0.0008
80,0
81,0.0007
82,0
83,0
84,0.0013
85,0.0007
86,0.0006
87,0.0006
88,0.001
89,0.0038
90,0.0044
91,0.0027
92,0.004
93,0.0018
94,0.0065
95,0.0095
96,0.0075
97,0.0067
98,0.0088
99,0.0087
100,0.0099
101,0.0123
102,0.0141
103,0.0194
104,0.0246
105,0.0302
106,0.0459
107,0.0475
108,0.0599
109,0.064
110,0.0723
111,0.1047
112,0.1014
113,0.1055
114,0.1133
115,0.0993
116,0.0788
117,0.0726
118,0.0433
119,0.0477
120,0.028
121,0.0277
122,0.02
123,0.0222
124,0.0147
125,0.0113
126,0.008
127,0.0034
128,0.0051
129,0.0079
130,0.0037
131,0.0046
132,0.004
133,0.0036
134,0.0073
135,0.0074
136,0.0058
137,0.0117
138,0.0092
139,0.0119
140,0.0138
141,0.0129
142,0.0246
143,0.0239
144,0.0399
145,0.0417
146,0.05
147,0.0558
148,0.0452
149,0.0415
150,0.0437
151,0.0481
152,0.0596
153,0.0576
154,0.0536
155,0.0616
156,0.0848
157,0.0678
158,0.0748
