Region,N,SSE,MSE,RMSE,MAE,NRMSE,R_squared,AIC,BIC,R0_baseline,R0_min,R0_max
R1,158,0.03139382013760823,0.00019869506416207743,0.014095923671830712,0.00900992345300495,0.10177562217928311,0.7905502648099699,-1332.7508014002863,-1311.3126361690975,1.896332225520916,0.6552828495674491,3.137381601474383
R2,158,0.012590644156923287,7.968762124634992e-05,0.008926792326829941,0.0062597485144286116,0.09896665550809247,0.8258718611510016,-1477.1086155721985,-1455.6704503410097,1.7799792964540178,0.6738502837092687,2.8861083091987667
R3,158,0.0209685053308968,0.00013271205905630886,0.011520072007427247,0.008398573675735087,0.10000062506447263,0.8269620785772607,-1396.5179418961875,-1375.0797766649987,1.6757044585021212,0.6228748387589748,2.728534078245268
R4,158,0.012710866742701459,8.044852368798391e-05,0.008969310101004643,0.005886095576410719,0.09910839890612866,0.7887970816124519,-1475.6070995887596,-1454.1689343575708,1.5292096927855976,0.8999579112675123,2.158461474303683
R5,158,0.012782132177534416,8.089957074388871e-05,0.00899441886637979,0.006502537583721432,0.06950864657171399,0.9042219982668167,-1474.7237223077861,-1453.2855570765973,1.1352326180063785,0.8600276192727384,1.4104376167400188
R6,158,0.025016581106568715,0.00015833279181372604,0.012583035874292263,0.009090853857688834,0.1179291084750915,0.8255612277066413,-1368.6282111109335,-1347.1900458797447,1.5149790327434343,0.9000267726066689,2.1299312928801997
R7,158,0.046977604888798985,0.00029732661322024676,0.01724316134646564,0.012101097343220475,0.08708667346699818,0.822513264322437,-1269.0673318624276,-1247.6291666312388,1.4054428335299762,0.40725620100380294,2.4036294660561492
R8,158,0.016512972372963407,0.00010451248337318613,0.010223134713637795,0.0074802041908269825,0.07634902698758622,0.8979541543855302,-1434.260237621221,-1412.8220723900322,1.1269262238201292,0.8407491349627806,1.4131033126774777
R9,158,0.0241694581802753,0.00015297125430553988,0.012368154846440915,0.008045440540883004,0.09299364546196176,0.848721498376612,-1374.071164463563,-1352.6329992323742,1.4842426976408583,0.5483788987341524,2.420106496547564
R10,158,0.01508901043526166,9.550006604595987e-05,0.009772413522050726,0.006934650944837515,0.08482997849002366,0.8990093368593702,-1448.5086117857413,-1427.0704465545525,1.7967119455043346,0.5514389743828321,3.0419849166258373
