Region,Parameter,Estimate,CI95_lower,CI95_upper,CI_status,Lower_bound,Upper_bound,Estimate_near_lower_bound,Estimate_near_upper_bound,Estimate_with_95CI
R1,alpha1,0.010000000000000002,0.01,1.9881276603940936,lower_bound_limited,0.01,30.0,True,False,"0.01 [0.01, 1.9881]*"
R1,alpha2,1.9748086607658575,0.5562142105899844,3.045244000843825,finite,0.01,30.0,False,False,"1.9748 [0.55621, 3.0452]"
R1,kappa1,0.6544472320046952,0.4622152425937606,0.7481919387676522,finite,0.001,0.999,False,False,"0.65445 [0.46222, 0.74819]"
R1,phi,0.8539065916790651,0.739790914249295,0.8887064262335964,finite,0.0,6.283185307179586,False,False,"0.85391 [0.73979, 0.88871]"
R1,lambda,0.4620667531395527,0.2440303147498536,10.0,upper_bound_limited,0.05,10.0,False,False,"0.46207 [0.24403, 10]*"
R1,theta,0.03205460650932959,0.029922131158126235,0.03589564398704785,finite,0.001,0.5,False,False,"0.032055 [0.029922, 0.035896]"
R1,psi,1.8752470346027466,0.6788199765021927,3.0389334883079564,finite,0.001,100.0,False,False,"1.8752 [0.67882, 3.0389]"
R2,alpha1,0.010000000000000002,0.01,1.8043567490690249,lower_bound_limited,0.01,30.0,True,False,"0.01 [0.01, 1.8044]*"
R2,alpha2,1.5874246160129395,0.5161178809271796,2.4745976785373798,finite,0.01,30.0,False,False,"1.5874 [0.51612, 2.4746]"
R2,kappa1,0.6214280216339155,0.44248255990405316,0.7005799916800731,finite,0.001,0.999,False,False,"0.62143 [0.44248, 0.70058]"
R2,phi,0.8166252176567792,0.7095782569879433,0.8662747277110853,finite,0.0,6.283185307179586,False,False,"0.81663 [0.70958, 0.86627]"
R2,lambda,0.5849245157633354,0.29625214425006696,10.0,upper_bound_limited,0.05,10.0,False,False,"0.58492 [0.29625, 10]*"
R2,theta,0.03668572159413666,0.0348904700477018,0.040193409332541646,finite,0.001,0.5,False,False,"0.036686 [0.03489, 0.040193]"
R2,psi,1.1588321467175555,0.5709453947647092,1.8416017387539,finite,0.001,100.0,False,False,"1.1588 [0.57095, 1.8416]"
R3,alpha1,0.010000000000000002,0.01,0.8155237199541604,lower_bound_limited,0.01,30.0,True,False,"0.01 [0.01, 0.81552]*"
R3,alpha2,0.9240962911643549,0.5525934684674942,1.8063861143721052,finite,0.01,30.0,False,False,"0.9241 [0.55259, 1.8064]"
R3,kappa1,0.628290755211244,0.5067673429499041,0.7394247562928439,finite,0.001,0.999,False,False,"0.62829 [0.50677, 0.73942]"
R3,phi,0.8120790238735649,0.7523961554796824,0.8688471285378483,finite,0.0,6.283185307179586,False,False,"0.81208 [0.7524, 0.86885]"
R3,lambda,1.4843399708376566,0.45260612859020716,10.0,upper_bound_limited,0.05,10.0,False,False,"1.4843 [0.45261, 10]*"
R3,theta,0.038283421103934706,0.03691560593264738,0.04072618449661037,finite,0.001,0.5,False,False,"0.038283 [0.036916, 0.040726]"
R3,psi,0.9217232416504203,0.6279549790768872,1.7440975659459448,finite,0.001,100.0,True,False,"0.92172 [0.62795, 1.7441]"
R4,alpha1,0.010000001295467915,0.01,0.35187258754992895,lower_bound_limited,0.01,30.0,True,False,"0.01 [0.01, 0.35187]*"
R4,alpha2,0.6734644933215911,0.55046381738708,0.9709600519597611,finite,0.01,30.0,False,False,"0.67346 [0.55046, 0.97096]"
R4,kappa1,0.41148822459517936,0.35525147478376995,0.47373372533926084,finite,0.001,0.999,False,False,"0.41149 [0.35525, 0.47373]"
R4,phi,0.870523956014372,0.7938467363520453,0.899854339602869,finite,0.0,6.283185307179586,False,False,"0.87052 [0.79385, 0.89985]"
R4,lambda,2.9793181016293433,1.1102386471725305,10.0,upper_bound_limited,0.05,10.0,False,False,"2.9793 [1.1102, 10]*"
R4,theta,0.0504824452783603,0.04765718730748937,0.05718510423991927,finite,0.001,0.5,False,False,"0.050482 [0.047657, 0.057185]"
