Region,Last_Observed_Week,Model_Time_End,S_end,E_end,I_end,R_end,J_end,Forecast_J0_recommended,Last_Fitted_Positivity,omega_fixed,alpha1,alpha2,kappa1,phi,lambda,theta,psi
R1,158.0,158.0,0.36721260054713667,0.03397601522971422,0.04745099710121446,0.5513603871219358,2.487008203867058,0.0,0.08492937952661679,52.18,0.010000000000000002,1.9748086607658575,0.6544472320046952,0.8539065916790651,0.4620667531395527,0.03205460650932959,1.8752470346027466
R2,158.0,158.0,0.4070145707152481,0.032500276769567855,0.05596209767773252,0.5045230548374519,2.9431380921275325,0.0,0.06361884872724305,52.18,0.010000000000000002,1.5874246160129395,0.6214280216339155,0.8166252176567792,0.5849245157633354,0.03668572159413666,1.1588321467175555
R3,158.0,158.0,0.42997564468904015,0.02057394437375737,0.09143690947365694,0.45801350146354597,4.469575208992311,0.0,0.08421320100595393,52.18,0.010000000000000002,0.9240962911643549,0.628290755211244,0.8120790238735649,1.4843399708376566,0.038283421103934706,0.9217232416504203
R4,158.0,158.0,0.5029086673653868,0.010061827664259644,0.09574813632745238,0.39128136864290186,5.862537714502934,0.0,0.056037780864621536,52.18,0.010000001295467915,0.6734644933215911,0.41148822459517936,0.870523956014372,2.9793181016293433,0.0504824452783603,0.55762968191018
R5,158.0,158.0,0.7297849387564395,0.034520894007442356,0.008717266286831692,0.22697690094928627,0.36783667452205515,0.0,0.08779888065973382,52.18,1.2327949139265115,0.010000000000000002,0.24242168025169789,1.0464842893437616,0.08803861285798707,0.07450514114126723,11.13345086166247
R6,158.0,158.0,0.49861363903785605,0.008516882610413902,0.08135715024043909,0.4115123281112901,5.3527441237277795,0.0,0.07968336208626775,52.18,0.010000000000000002,0.6824384892124452,0.40591470036596156,1.1123013998775253,2.7298128356792004,0.046692513754974775,0.9573337016024412
R7,158.0,158.0,0.5536226796308201,0.011921851273590113,0.09905374032511784,0.33540172877047325,4.02153268893134,0.0,0.12161997249746934,52.18,0.010000000000000002,0.6226611025292224,0.7102292663295887,0.9082006585540425,2.9080218542811105,0.03974030790732587,1.2819944849086888
R8,158.0,158.0,0.7413731662133352,0.035781337506594076,0.006803409178761036,0.21604208710130915,0.29119914337091823,0.0,0.09050173301243182,52.18,1.2027824245307486,0.010000000000000002,0.25394483046746974,1.0362443930430243,0.068914180136951,0.07704300477610153,14.880868941929448
R9,158.0,158.0,0.4900062683609054,0.035323596992668085,0.02789078061976271,0.4467793540266646,1.5416757955677074,0.0,0.08974675498223537,52.18,0.010000000000000002,2.4972796593063515,0.6305328639273229,1.1106311052858377,0.2426332167109854,0.05313317299005353,3.4102678491892635
R10,158.0,158.0,0.42803861573588686,0.0424893706427551,0.034166944951120895,0.4953050686702378,1.806722650937059,0.0,0.08470434679204589,52.18,0.010000000000000002,2.561494394660695,0.6930843723933477,0.7733501898492762,0.29988358424871076,0.03469466981634665,2.69136513708212
